number,user,restaurant_names,positions
21,5GUadxRaN73Jf0fdhaVCFw,"AQEEH7JP1DFrvFuMi6TP2Q, T7ekp7FiffoWDq53hbZDhg, f6SN9YUSpb9AjS4hnFgyxg, M3L6py5NM0_WjIT7410M0Q, lE9qVePgvolkhw6C3Cdkeg, zo92mzQ7NBlazYi1F0KHMw, ko4q1Oj4iWvYSxoamlcEgw, xD3L3JhNxsAfQikOHWHa4w, Ku333V1F3_9MVKUJ72_ZBw, Pv0P0vYFIOlMPPfn18Wc7Q","669, 123, 43, 720, 309, 584, 698, 351, 795, 349"
22,2zlt0VIv60yPKkCZ9TuHEg,"fY1IkBnRft1KR0O2tqu7pg, MPzZuWpKpeLBa833zzL9IQ, hSEGyy0-i1_ZXGIRySbgcg, ZhJ59SFPifQiTW0gAddfGw, dFYfZsc-SUwRpDEgJiIoXA, KPrdWch1680ihzVe3C-s3w, CdAmgWWCabZQoYNNWOKcEw, iOWNNYo_ccAb2__Za0Ip4A, JG3Yw6z48y6Eyi0DnN19tQ, iNVn7TsdKzgrYfRWmWTQOg","914, 488, 710, 694, 381, 670, 664, 235, 667, 921"
23,9tliQ8H9xcGN8iVl55nx_g,"LFknVw6uTIaL-MY_RqkN7g, tDGDMePyQvBBn416-1SEMA, _HMiq7vSET4uhNScBdOJnw, NbQH02mMYJ4r1RqvG2FDBA, T7ekp7FiffoWDq53hbZDhg, Rwzp59f3Ia-v2V8Ku0zZWQ, Ku333V1F3_9MVKUJ72_ZBw, Pv0P0vYFIOlMPPfn18Wc7Q, fWTX7OI4PXfdxiBQfrNDkg, x44o1_Dw4QsQZRtBJgwZaA","707, 395, 615, 872, 123, 599, 795, 349, 270, 39"
24,YUB60ublKhL0N3sMMYh6aQ,"I1wArJIYbFl2txUL6unC6A, 0UVlw30JrYGl79rT0XIEmw, BYwoAKKtdSeylSN7QV8oNw, J3ijSN86u_Pg42BZjkDM_g, i5dxKKLe2kJ8WbPUXilPGg, KX5KY8fLlMoJMS1NAj0Pvw, 2FLfIQ9u3PJKg2iLhkl91A, tRPHSd0ow1hsqMRxyMePeg, AQEEH7JP1DFrvFuMi6TP2Q, J9rMt_V1NX49rU3YUjh_7Q","907, 322, 950, 343, 527, 388, 902, 116, 669, 758"
25,OKbv3KDqjEmYQeADqevsnA,"lJ5YkS5fxC8dcSK4FPtyYQ, x44o1_Dw4QsQZRtBJgwZaA, 4ZOXsBhHx2EzrTwACILK2A, 7LFdimtQU3yrgiKyE53klQ, g_oK5K039p7OVy43FSg-ug, BYwoAKKtdSeylSN7QV8oNw, ib_206uhcdzV7lNcCpniXA, I1wArJIYbFl2txUL6unC6A, uQu5DtnXZZ8XVfBKldKnag, x0Pk5Uvy0y63FSzcfmxRpQ","551, 39, 644, 745, 949, 950, 656, 907, 178, 682"
26,evIjahgjJHGsuunzD9aT1A,"wyDfBs1tYSIiBO7HCPKNTg, j_gl-C2l5fwpmref4qTFsw, KX5KY8fLlMoJMS1NAj0Pvw, t7sRzgaAW6vCAW4KgBrytg, pJWufKPuAuRFUyky_LeUMg, 5RFNZZvtfF9uHVSUeYwzbQ, J9rMt_V1NX49rU3YUjh_7Q, 6xx2FpMxjwabEHz_t2MiZg, 5LMkTnMXOxlce_LwUNhpCQ, I1wArJIYbFl2txUL6unC6A","535, 230, 388, 159, 461, 89, 758, 814, 829, 907"
27,HUodv8WGv4xo7EabaN3dqQ,"_HMiq7vSET4uhNScBdOJnw, J9rMt_V1NX49rU3YUjh_7Q, txwpCDw5Utu9WbM0VtYJqg, Rwzp59f3Ia-v2V8Ku0zZWQ, cEX4Cw8q2ftBrbpCvInf0w, x44o1_Dw4QsQZRtBJgwZaA, jLcBOqa-UT6qugFgZqjNvA, YnnYwfMEeSru_cJ_qKeofw, I1wArJIYbFl2txUL6unC6A, _7nMWBmfFvk9S3tKG3Ip_g","615, 758, 505, 599, 446, 39, 84, 588, 907, 141"
28,9QDWLRxdU6uOscehvVt6Tw,"Rwzp59f3Ia-v2V8Ku0zZWQ, vVqxGrqt5ALxQjJGnntpKQ, _HMiq7vSET4uhNScBdOJnw, jLcBOqa-UT6qugFgZqjNvA, IC15vAUX4EiMlWxxMehohw, tq03doSUN1Hpd2zmNAMRCQ, P-X4kr5pDqXzhPEfa6RsTQ, Zz8xPKC4RDGJCB49R_w9hQ, lycfBKtcR7keDQQOeMMsoA, 5RFNZZvtfF9uHVSUeYwzbQ","599, 167, 615, 84, 329, 876, 241, 37, 930, 89"
29,MmJ-gKRi3hRzBlVqEUEkOg,"xD3L3JhNxsAfQikOHWHa4w, WdgQzBYDtTgcLahHvtiokA, bjL1PC2e9dvjBVewmoXYwQ, DDd3TW3lDvQduqmw-UkrUg, z7Kk8ijuqK9T2CN6sz1q9A, J9rMt_V1NX49rU3YUjh_7Q, XLa3iW4hkLyImtZAx61lSg, hinGqQYvot8HtRYxSdr6FA, J3ijSN86u_Pg42BZjkDM_g, LFknVw6uTIaL-MY_RqkN7g","351, 212, 524, 961, 497, 758, 520, 99, 343, 707"
30,j8UlPZDO6K5iI8T7LKPqEA,"cEX4Cw8q2ftBrbpCvInf0w, j_aIYB4uGOR45jAXivFNZQ, J9rMt_V1NX49rU3YUjh_7Q, fY1IkBnRft1KR0O2tqu7pg, o1_iIC0rU2yuF3SZvf6IjA, at7wfECnjgIJi5o7gL8fyQ, bF_LdicaTRb_zXW7L3TgmA, xqniVNVNvAE1E9Qzf8b_Bw, ymAw53bQVppVV7T40fNgRw, 71aipxvzUEEAd245w61o7A","446, 145, 758, 914, 888, 612, 959, 723, 219, 951"
31,0gBy-cIXe0DQKhFjifu68Q,"O79uzVop5yqobf3bdjZzQg, T7ekp7FiffoWDq53hbZDhg, 7LFdimtQU3yrgiKyE53klQ, LFknVw6uTIaL-MY_RqkN7g, _HMiq7vSET4uhNScBdOJnw, kA5pZz-koXIlPaDJALDroQ, J9rMt_V1NX49rU3YUjh_7Q, j_aIYB4uGOR45jAXivFNZQ, Rwzp59f3Ia-v2V8Ku0zZWQ, at7wfECnjgIJi5o7gL8fyQ","580, 123, 745, 707, 615, 466, 758, 145, 599, 612"
32,FAi3gMEwxhnh9tZRQiWwTg,"KmKkhD-97CqPvokq5JIoBA, 0hGE_UiUMAcF3PABcE-M4Q, I1wArJIYbFl2txUL6unC6A, x44o1_Dw4QsQZRtBJgwZaA, uQu5DtnXZZ8XVfBKldKnag, -WRbjOIgvQQ3jlJnvKUBNA, 5RFNZZvtfF9uHVSUeYwzbQ, _HMiq7vSET4uhNScBdOJnw, BYwoAKKtdSeylSN7QV8oNw, XLa3iW4hkLyImtZAx61lSg","537, 788, 907, 39, 178, 283, 89, 615, 950, 520"
33,fAY7S51J_9uMMZRVTO8f3w,"Rwzp59f3Ia-v2V8Ku0zZWQ, BYwoAKKtdSeylSN7QV8oNw, T7ekp7FiffoWDq53hbZDhg, J9rMt_V1NX49rU3YUjh_7Q, _HMiq7vSET4uhNScBdOJnw, txwpCDw5Utu9WbM0VtYJqg, vVqxGrqt5ALxQjJGnntpKQ, x44o1_Dw4QsQZRtBJgwZaA, at7wfECnjgIJi5o7gL8fyQ, bjL1PC2e9dvjBVewmoXYwQ","599, 950, 123, 758, 615, 505, 167, 39, 612, 524"
34,a7y3gCq9Vwv89NRtUTtyJw,"6xx2FpMxjwabEHz_t2MiZg, pAOYo3ZahSkdHTVPPGtGfQ, MqdAYfl1p_c1144i48k6jw, -WRbjOIgvQQ3jlJnvKUBNA, ahlZC7XOKN-XJ7P4sPZrRg, J9rMt_V1NX49rU3YUjh_7Q, _HMiq7vSET4uhNScBdOJnw, S28wsa8TvT_ptmbxVuvzTA, wyDfBs1tYSIiBO7HCPKNTg, 5tmDnlBsHIGGKEm7xVgsVQ","814, 339, 207, 283, 937, 758, 615, 202, 535, 692"
35,1wWXchH7yRlFCxfC4dkQnA,"Rwzp59f3Ia-v2V8Ku0zZWQ, 0W5UWAcjwGuCJOv8rXGMqw, txwpCDw5Utu9WbM0VtYJqg, 6LgTc7CZlXCd1Pxq3BiVcw, -U4BnQL4VC3dkRDUZL0i8Q, vVqxGrqt5ALxQjJGnntpKQ, xAJfM-dMPOHFH35Adgi10w, _HMiq7vSET4uhNScBdOJnw, 5RFNZZvtfF9uHVSUeYwzbQ, T7ekp7FiffoWDq53hbZDhg","599, 647, 505, 681, 812, 167, 641, 615, 89, 123"
36,Nd-GGF74T3RKlty7PqM48A,"IC15vAUX4EiMlWxxMehohw, n5vQCdHfl2Dm7r4l5FW8Cw, k3pHAEdDGC2tqHlrqXql4Q, Rl318hUrGlkPJhMmNNZizQ, x0Pk5Uvy0y63FSzcfmxRpQ, tDGDMePyQvBBn416-1SEMA, _HMiq7vSET4uhNScBdOJnw, ADtSvzL_abKwWPM1EL2yJw, at7wfECnjgIJi5o7gL8fyQ, qKItqQ_TuAtgQYQFDBQWGg","329, 333, 151, 82, 682, 395, 615, 410, 612, 635"
37,JxQmVUwbUBAZiji4kZtVSg,"_HMiq7vSET4uhNScBdOJnw, JHi4LCxdbpXthg98sQiicQ, lE9qVePgvolkhw6C3Cdkeg, T7ekp7FiffoWDq53hbZDhg, sxQdEEfKRviWRymOoH9UiA, BYwoAKKtdSeylSN7QV8oNw, ib_206uhcdzV7lNcCpniXA, Rwzp59f3Ia-v2V8Ku0zZWQ, _7nMWBmfFvk9S3tKG3Ip_g, I1wArJIYbFl2txUL6unC6A","615, 23, 309, 123, 945, 950, 656, 599, 141, 907"
38,qnIyZwh99Jhww8BhsfUg_w,"EJNkmXMDWurCPjOZe_WXAg, Rwzp59f3Ia-v2V8Ku0zZWQ, new3Ny6i5ZJVn3m-i4A2Tg, ZhJ59SFPifQiTW0gAddfGw, uQu5DtnXZZ8XVfBKldKnag, _pgZkZi9lBHGQe6YzVVjjg, aYdHn3OiBekxS3MUXIc59Q, cNfJMGK0MDvs13Y020wTgA, cGXLaKJqNvZRwYtqm1PK4w, _HMiq7vSET4uhNScBdOJnw","613, 599, 125, 694, 178, 653, 854, 600, 437, 615"
39,8NyAypqBJG2JiSXBu7Vlug,"_HMiq7vSET4uhNScBdOJnw, o1_iIC0rU2yuF3SZvf6IjA, MqdAYfl1p_c1144i48k6jw, 1nw-_Bm8sivTBZ7Z-uiVCA, mnaTW8Wm0ESJXf4qqDtS9A, uQu5DtnXZZ8XVfBKldKnag, x0Pk5Uvy0y63FSzcfmxRpQ, UPRFpMsB4I64GRjUqjRmiw, tz8VEeIOoM5Cu1NSnC2JIQ, DHtvncPCxHKnuMgobG4inw","615, 888, 207, 889, 861, 178, 682, 879, 846, 900"
40,HO35wso-psqx0GF--QSwGA,"J9rMt_V1NX49rU3YUjh_7Q, AQEEH7JP1DFrvFuMi6TP2Q, BfGgttAzEPx9v7b8Sgkedw, NbQH02mMYJ4r1RqvG2FDBA, Rwzp59f3Ia-v2V8Ku0zZWQ, 7WDDntU3Kk9WWaINh-0RuA, ADtSvzL_abKwWPM1EL2yJw, XuxzGu2PEr59drHseZOVCg, KX5KY8fLlMoJMS1NAj0Pvw, bjL1PC2e9dvjBVewmoXYwQ","758, 669, 195, 872, 599, 325, 410, 618, 388, 524"
41,jVoWhV1DT0peojYuH3HbLg,"uQu5DtnXZZ8XVfBKldKnag, _HMiq7vSET4uhNScBdOJnw, I1wArJIYbFl2txUL6unC6A, x0Pk5Uvy0y63FSzcfmxRpQ, 9R5laAm5Kv4aBLVtH1gVnA, 71aipxvzUEEAd245w61o7A, LdpItBAPRrIVIkIP4PZb1A, 7LFdimtQU3yrgiKyE53klQ, ZQpVdMcXKJXK1cxde2XDKg, T434Tkz_mnF74J-55Z7PKA","178, 615, 907, 682, 575, 951, 383, 745, 689, 152"
42,UTzUG8exwDoHDW6V0BSE2w,"97DdiERj19Fuk5CRpHl0Hg, hinGqQYvot8HtRYxSdr6FA, fY1IkBnRft1KR0O2tqu7pg, NAsglQPCdPMJV_RkHge27A, BYwoAKKtdSeylSN7QV8oNw, meUD8jqkG4uy0ERdqcZI6g, WFtN3VJ4Tft0hQHl6NZaAA, XuxzGu2PEr59drHseZOVCg, VWLfePKMEj7g2P77RvRDuA, 6LgTc7CZlXCd1Pxq3BiVcw","680, 99, 914, 817, 950, 558, 697, 618, 330, 681"
43,6G3tlx3-W5IH1lmaPXBSoQ,"J9rMt_V1NX49rU3YUjh_7Q, 7LFdimtQU3yrgiKyE53klQ, Rwzp59f3Ia-v2V8Ku0zZWQ, sxQdEEfKRviWRymOoH9UiA, fY1IkBnRft1KR0O2tqu7pg, MqdAYfl1p_c1144i48k6jw, r0bjzYPVHwZo_DP66VLt4Q, x0Pk5Uvy0y63FSzcfmxRpQ, VWLfePKMEj7g2P77RvRDuA, I1wArJIYbFl2txUL6unC6A","758, 745, 599, 945, 914, 207, 274, 682, 330, 907"
44,uSphcDFYUZW4cDBW7XPjdA,"i5dxKKLe2kJ8WbPUXilPGg, ahlZC7XOKN-XJ7P4sPZrRg, J9rMt_V1NX49rU3YUjh_7Q, 7LFdimtQU3yrgiKyE53klQ, vVqxGrqt5ALxQjJGnntpKQ, KmKkhD-97CqPvokq5JIoBA, I1wArJIYbFl2txUL6unC6A, 0UVlw30JrYGl79rT0XIEmw, xD3L3JhNxsAfQikOHWHa4w, ib_206uhcdzV7lNcCpniXA","527, 937, 758, 745, 167, 537, 907, 322, 351, 656"
45,8uhSaRacb0fkPxe4re4StA,"x0Pk5Uvy0y63FSzcfmxRpQ, tz8VEeIOoM5Cu1NSnC2JIQ, VEy3-SnvsKgWfGM_b2irbA, uQu5DtnXZZ8XVfBKldKnag, JHi4LCxdbpXthg98sQiicQ, lycfBKtcR7keDQQOeMMsoA, _HMiq7vSET4uhNScBdOJnw, Lv5GFFciSK532QIX2ZLqjg, 4Xm4LZQjoavYm0Yjs1QgsQ, fY1IkBnRft1KR0O2tqu7pg","682, 846, 417, 178, 23, 930, 615, 164, 965, 914"
46,Z9z67ChosXkTjjNAtFmN7w,"vVqxGrqt5ALxQjJGnntpKQ, CdAmgWWCabZQoYNNWOKcEw, qs6gA9Y5sRzpXnm_4QaP0Q, 7LFdimtQU3yrgiKyE53klQ, BYwoAKKtdSeylSN7QV8oNw, EJNkmXMDWurCPjOZe_WXAg, NbQH02mMYJ4r1RqvG2FDBA, 0UVlw30JrYGl79rT0XIEmw, KPrdWch1680ihzVe3C-s3w, _7nMWBmfFvk9S3tKG3Ip_g","167, 664, 127, 745, 950, 613, 872, 322, 670, 141"
47,6sRkV6dUa2TigWeVi4P9FQ,"LFknVw6uTIaL-MY_RqkN7g, Xtr2M_mh9_jOkmpNd_CSCA, 71aipxvzUEEAd245w61o7A, J9rMt_V1NX49rU3YUjh_7Q, lnC_BiucMb6YJjm392nwAQ, PiHPVBDkXTXaJtrrnJt9QQ, vZiWYH4XIiy3fqPNy615Kg, hSEGyy0-i1_ZXGIRySbgcg, DHtvncPCxHKnuMgobG4inw, vVqxGrqt5ALxQjJGnntpKQ","707, 424, 951, 758, 843, 574, 443, 710, 900, 167"
48,sF0HEhcWb13p_txmssFotw,"U3i7AaegudvpmDL23_wEmQ, vZiWYH4XIiy3fqPNy615Kg, _HMiq7vSET4uhNScBdOJnw, SlVW8CLHnA_NQPzZ6wYXCA, 3vr42-TF3V31LrN5sAFbDQ, EECw-s6Jy-fyJHhkUGQhHg, CTYFfHq1SWFyCeJ-KyIgOQ, ib_206uhcdzV7lNcCpniXA, xD3L3JhNxsAfQikOHWHa4w, NCwX8t4pHpcAMzSCaC2Hww","928, 443, 615, 384, 699, 642, 425, 656, 351, 717"
49,owI_FQdAKZQFY8UnkQoD8g,"xqniVNVNvAE1E9Qzf8b_Bw, NKkh6R7i2DQbUtyd5IdG_A, _7nMWBmfFvk9S3tKG3Ip_g, Eo87r_6a9Z3L_a8f9zVoow, ib_206uhcdzV7lNcCpniXA, eKctA6ndawB61VrmSF-dXw, 7LFdimtQU3yrgiKyE53klQ, VZcs1K7A31sNQurNXs9gaQ, Rwzp59f3Ia-v2V8Ku0zZWQ, 0UVlw30JrYGl79rT0XIEmw","723, 138, 141, 826, 656, 898, 745, 643, 599, 322"
